reaction,name,lb,ub
RNDR2,Ribonucleoside-diphosphate reductase (GDP),0.0,1000.0
RNDR3,Ribonucleoside-diphosphate reductase (CDP),0.0,1000.0
RNDR4,Ribonucleoside-diphosphate reductase (UDP),0.0,1000.0
RNTR1,Ribonucleoside triphosphate reductase  ATP ,0.0,1000.0
RNTR2,Ribonucleoside triphosphate reductase  GTP ,0.0,1000.0
RNTR3,Ribonucleoside triphosphate reductase  CTP ,0.0,1000.0
RNTR4,Ribonucleoside triphosphate reductase  UTP ,0.0,1000.0
SADT,Sulfate adenylyltransferase,0.0,1000.0
SADT2,Sulfate adenyltransferase,0.0,1000.0
SEAHCYSHYD_1,Se-Adenosylselenohomocysteine hydrolase,-1000.0,1000.0
SO4t2,Sulfate transport in via proton symport,0.0,1000.0
SPMS,Spermidine synthase,0.0,1000.0
SUCCt2r,Succinate transport via proton symport,0.0,1000.0
SULabc,Sulfate transport via ABC system,0.0,1000.0
St,Sulfur diffusion,-1000.0,1000.0
TDP,Thiamin pyrophosphatase,0.0,1000.0
THIORDXi,Hydrogen peroxide reductase (thioredoxin),0.0,1000.0
THMP,Thiamin phosphatase,0.0,1000.0
THMtrbc,Thiamine transprot (passive - red blood cell),-1000.0,1000.0
TMDK1_1,Thymidine kinase (ATP:thymidine),0.0,1000.0
TMDPK,Thiamine diphosphokinase,0.0,1000.0
TMDS,Thymidylate synthase,0.0,1000.0
TPI,Triose-phosphate isomerase,-1000.0,1000.0
TRDR,Thioredoxin reductase (NADPH),0.0,1000.0
TRE6PP,Trehalose-phosphatase,0.0,1000.0
UAGDP,UDP-N-acetylglucosamine diphosphorylase,0.0,1000.0
UCPP,UTP cytidine 5'-phosphotransferase ,0.0,1000.0
UDCTPP,DCTP uridine 5'-phosphotransferase ,0.0,1000.0
UDPG4E,UDPglucose 4-epimerase,-1000.0,1000.0
UDUPP,UTP uridine 5'-phosphotransferase ,0.0,1000.0
UPPN,B-ureidopropionase,0.0,1000.0
UPPRT,Uracil phosphoribosyltransferase,0.0,1000.0
URAt,Uracil transport via facilated diffusion,-1000.0,1000.0
URAt2,Uracil transport in via proton symport,0.0,1000.0
UREA,Urease,0.0,1000.0
UREASE,Urea carboxylase,-1000.0,1000.0
URIDK2r,Uridylate kinase (dUMP),-1000.0,1000.0
URIK1,Uridine kinase  ATPUridine ,0.0,1000.0
URIK1_1,Uridine kinase (ATP:Uridine),0.0,1000.0
URIK2,Uridine kinase (GTP:Uridine),0.0,1000.0
URIK2_1,Uridine kinase (GTP:Uridine),0.0,1000.0
URIK3,Uridine kinase (ITP:Uridine),0.0,1000.0
URIK3_1,Uridine kinase (ITP:Uridine),0.0,1000.0
XANt2,Xanthine transport in via proton symport,0.0,1000.0
XANt3,XANt3,0.0,1000.0
XPPT,Xanthine phosphoribosyltransferase,0.0,1000.0
r0280,DATP:pyruvate O2-phosphotransferase Purine metabolism EC:2.7.1.40,0.0,1000.0
EX_tsul_e,R_EX_tsul_e,-1000.0,1000.0
ATPM,R_ATPM,0.0,1000.0
